iter	RMSE
0	10.51577616
1	8.410889223
2	7.110776278
3	6.54404448
4	6.191851637
5	5.985043526
6	5.786583222
7	5.659709998
8	5.563901631
9	5.491811776
10	5.447035685
11	5.379176149
12	5.335261158
13	5.256651146
14	5.212049799
15	5.176392748
16	5.138631163
17	5.086996673
18	5.023976928
19	4.971492964
20	4.940679012
21	4.901217506
22	4.847049649
23	4.789137298
24	4.736109459
25	4.692788058
26	4.643416749
27	4.622697869
28	4.601303099
29	4.530840281
30	4.498036145
31	4.456069904
32	4.432690748
33	4.397592278
34	4.350551
35	4.315183574
36	4.269100759
37	4.210703991
38	4.191931975
39	4.129247992
40	4.127100299
41	4.083929422
42	4.068697286
43	4.009398686
44	3.976666493
45	3.926884296
46	3.865110072
47	3.853738204
48	3.844725475
49	3.814226174
