iter	Passed	Remaining
0	146	146801
1	147	73809
2	148	49457
3	149	37267
4	150	29953
5	151	25079
6	152	21595
7	153	18989
8	154	16973
9	155	15360
10	155	14021
11	156	12910
12	157	11972
13	158	11164
14	159	10466
15	160	9855
16	161	9316
17	161	8835
18	162	8402
19	164	8043
20	165	7705
21	166	7395
22	167	7106
23	168	6835
24	168	6587
25	169	6359
26	170	6149
27	171	5954
28	172	5770
29	173	5611
30	175	5482
31	176	5330
32	177	5187
33	177	5053
34	178	4928
35	179	4806
36	180	4692
37	181	4586
38	182	4486
39	182	4388
40	183	4297
41	185	4222
42	186	4140
43	186	4060
44	187	3983
45	188	3908
46	189	3837
47	190	3770
48	190	3705
49	192	3648
50	192	3589
51	193	3531
52	195	3487
53	196	3435
54	197	3385
55	197	3334
56	198	3286
57	199	3239
58	200	3205
59	202	3164
60	202	3124
61	204	3086
62	205	3054
63	206	3019
64	207	2980
65	208	2943
66	208	2908
67	209	2873
68	210	2840
69	211	2807
70	212	2775
71	212	2744
72	213	2714
73	214	2683
74	215	2663
75	216	2637
76	217	2611
77	218	2584
78	219	2558
79	220	2532
80	221	2508
81	221	2483
82	222	2459
83	223	2435
84	224	2412
85	224	2389
86	226	2374
87	227	2354
88	227	2333
89	229	2315
90	229	2295
91	230	2276
92	231	2257
93	232	2238
94	232	2219
95	233	2201
96	234	2186
97	235	2169
98	236	2156
99	238	2149
100	239	2133
101	240	2117
102	241	2101
103	242	2086
104	242	2070
105	243	2055
106	244	2040
107	245	2028
108	246	2014
109	247	2000
110	248	1987
111	249	1974
112	249	1962
113	251	1951
114	284	2192
115	285	2177
116	286	2162
117	287	2152
118	288	2138
119	289	2125
120	290	2111
121	291	2100
122	292	2086
123	293	2075
124	294	2064
125	295	2051
126	296	2038
127	297	2026
128	298	2013
129	298	2000
130	299	1988
131	300	1975
132	301	1963
133	301	1950
134	302	1938
135	303	1927
136	304	1917
137	305	1908
138	306	1899
139	307	1891
140	308	1881
141	309	1871
142	310	1860
143	311	1850
144	312	1839
145	312	1830
146	313	1821
147	315	1813
148	315	1804
149	316	1795
150	317	1785
151	318	1775
152	319	1766
153	319	1757
154	320	1747
155	321	1738
156	322	1729
157	322	1720
158	323	1712
159	324	1705
160	325	1698
161	326	1690
162	327	1682
163	328	1674
164	329	1666
165	330	1658
166	330	1650
167	331	1643
168	332	1635
169	333	1627
170	334	1619
171	334	1612
172	336	1607
173	337	1601
174	338	1594
175	339	1587
176	339	1580
177	340	1573
178	341	1564
179	341	1556
180	342	1549
181	343	1542
182	344	1535
183	344	1529
184	346	1524
185	347	1520
186	348	1514
187	349	1507
188	349	1501
189	350	1494
190	351	1488
191	352	1481
192	352	1475
193	353	1469
194	354	1463
195	355	1457
196	355	1451
197	357	1447
198	358	1442
199	359	1437
200	360	1431
201	360	1425
202	361	1419
203	362	1414
204	363	1408
205	364	1403
206	364	1397
207	365	1392
208	366	1386
209	367	1383
210	368	1378
211	369	1373
212	370	1369
213	371	1364
214	372	1360
215	373	1355
216	374	1350
217	375	1345
218	376	1340
219	376	1336
220	377	1331
221	379	1328
222	379	1323
223	380	1318
224	381	1313
225	382	1309
226	383	1304
227	383	1299
228	384	1295
229	385	1290
230	386	1285
231	386	1281
232	388	1278
233	389	1274
234	390	1270
235	391	1266
236	391	1261
237	392	1257
238	393	1253
239	394	1248
240	395	1244
241	396	1240
242	396	1236
243	397	1232
244	398	1228
245	399	1225
246	400	1221
247	401	1217
248	402	1213
249	403	1209
250	403	1205
251	404	1201
252	405	1198
253	406	1194
254	407	1190
255	408	1187
256	410	1185
257	411	1182
258	411	1178
259	412	1174
260	413	1171
261	414	1167
262	415	1163
263	415	1159
264	416	1155
265	417	1152
266	418	1149
267	419	1145
268	420	1143
269	421	1139
270	422	1136
271	423	1132
272	423	1128
273	424	1124
274	425	1120
275	426	1117
276	427	1114
277	428	1111
278	428	1108
279	429	1104
280	430	1101
281	431	1099
282	433	1097
283	433	1093
284	434	1090
285	435	1087
286	436	1083
287	437	1080
288	437	1077
289	438	1073
290	439	1070
291	440	1067
292	440	1064
293	442	1061
294	443	1059
295	444	1056
296	444	1052
297	445	1049
298	446	1046
299	447	1043
300	448	1040
301	448	1037
302	449	1034
303	450	1031
304	451	1028
305	452	1025
306	453	1024
307	454	1021
308	455	1018
309	456	1015
310	457	1012
311	457	1009
312	458	1006
313	459	1003
314	460	1001
315	461	998
316	461	995
317	462	992
318	463	990
319	464	987
320	465	984
321	466	982
322	467	980
323	468	978
324	469	975
325	470	972
326	471	970
327	472	967
328	472	964
329	474	963
330	475	961
331	476	959
332	478	957
333	478	954
334	479	951
335	480	949
336	481	946
337	482	944
338	482	941
339	483	939
340	484	936
341	486	935
342	487	933
343	488	931
344	489	928
345	489	925
346	490	923
347	491	920
348	492	918
349	492	915
350	493	912
351	494	910
352	495	908
353	497	907
354	498	905
355	499	903
356	500	900
357	500	898
358	501	895
359	502	893
360	503	890
361	504	888
362	504	885
363	505	883
364	506	880
365	507	879
366	509	878
367	510	876
368	510	873
369	511	871
370	512	869
371	513	866
372	514	864
373	515	862
374	515	859
375	516	857
376	518	857
377	519	854
378	520	852
379	521	850
380	521	848
381	522	845
382	523	843
383	524	840
384	525	838
385	525	836
386	526	834
387	527	831
388	528	830
389	529	828
390	530	826
391	531	824
392	532	822
393	533	819
394	533	817
395	534	815
396	535	813
397	536	811
398	537	808
399	537	806
400	539	805
401	540	803
402	541	801
403	541	799
404	542	797
405	543	795
406	544	792
407	545	790
408	545	788
409	546	786
410	547	784
411	548	782
412	549	781
413	550	779
414	551	777
415	552	775
416	552	773
417	553	771
418	554	768
419	555	767
420	556	764
421	557	762
422	558	761
423	559	760
424	560	758
425	561	756
426	562	754
427	563	752
428	564	750
429	565	749
430	566	747
431	567	745
432	568	743
433	568	742
434	570	741
435	571	739
436	572	737
437	573	735
438	573	733
439	574	731
440	575	729
441	576	727
442	577	725
443	578	724
444	579	722
445	579	720
446	581	718
447	582	717
448	583	715
449	583	713
450	584	711
451	585	709
452	586	707
453	587	705
454	587	704
455	588	702
456	589	700
457	590	698
458	591	697
459	592	695
460	593	693
461	594	692
462	595	690
463	595	688
464	596	686
465	597	684
466	598	682
467	599	681
468	599	679
469	600	677
470	601	675
471	602	674
472	603	672
473	604	671
474	605	669
475	606	667
476	607	665
477	607	663
478	608	662
479	609	660
480	610	658
481	611	657
482	612	655
483	613	654
484	614	652
485	615	651
486	616	649
487	617	647
488	617	645
489	618	643
490	619	642
491	620	640
492	621	638
493	621	636
494	622	635
495	623	633
496	624	632
497	625	630
498	626	628
499	627	627
500	627	625
501	628	623
502	629	622
503	630	620
504	631	618
505	632	617
506	632	615
507	633	613
508	634	612
509	636	611
510	636	609
511	637	607
512	638	606
513	639	604
514	640	602
515	641	601
516	641	599
517	642	597
518	643	596
519	644	594
520	645	593
521	646	591
522	646	590
523	647	588
524	648	586
525	649	585
526	650	583
527	650	581
528	651	580
529	652	578
530	653	577
531	654	575
532	655	574
533	656	572
534	657	571
535	658	569
536	659	568
537	659	566
538	660	565
539	661	563
540	662	562
541	663	560
542	664	559
543	666	558
544	667	557
545	668	555
546	669	554
547	670	552
548	671	551
549	672	549
550	673	548
551	674	547
552	674	545
553	677	545
554	678	544
555	679	542
556	680	541
557	681	540
558	682	538
559	683	537
560	684	535
561	685	533
562	685	532
563	686	530
564	688	529
565	689	528
566	690	526
567	690	525
568	691	524
569	692	522
570	693	521
571	694	519
572	695	517
573	695	516
574	696	514
575	697	513
576	698	512
577	699	510
578	700	509
579	701	507
580	702	506
581	702	504
582	703	503
583	704	501
584	705	500
585	706	498
586	706	497
587	707	495
588	709	494
589	710	493
590	711	492
591	711	490
592	712	489
593	713	487
594	714	486
595	715	484
596	716	483
597	716	481
598	717	480
599	718	479
600	720	478
601	721	477
602	722	475
603	723	474
604	724	473
605	725	471
606	726	470
607	727	468
608	728	467
609	728	466
610	729	464
611	730	463
612	732	462
613	732	460
614	733	459
615	734	457
616	735	456
617	736	454
618	736	453
619	737	452
620	738	450
621	739	449
622	740	447
623	741	446
624	742	445
625	743	444
626	744	442
627	744	441
628	745	439
629	746	438
630	747	436
631	748	435
632	779	451
633	780	450
634	781	448
635	782	447
636	783	446
637	784	444
638	796	450
639	797	448
640	799	447
641	800	446
642	801	444
643	802	443
644	803	442
645	804	440
646	805	439
647	806	437
648	807	436
649	807	435
650	808	433
651	809	432
652	810	430
653	811	429
654	812	427
655	813	426
656	814	425
657	815	423
658	816	422
659	817	421
660	818	419
661	819	418
662	819	416
663	820	415
664	821	413
665	822	412
666	823	410
667	823	409
668	825	408
669	826	406
670	827	405
671	827	404
672	828	402
673	829	401
674	830	399
675	830	398
676	831	396
677	832	395
678	833	393
679	833	392
680	834	390
681	836	389
682	837	388
683	837	387
684	838	385
685	839	384
686	840	382
687	840	381
688	841	379
689	842	378
690	843	377
691	843	375
692	844	374
693	845	372
694	847	371
695	848	370
696	848	369
697	849	367
698	850	366
699	851	364
700	851	363
701	852	361
702	853	360
703	854	359
704	854	357
705	855	356
706	857	355
707	858	353
708	859	352
709	859	351
710	860	349
711	861	348
712	862	347
713	863	345
714	863	344
715	864	342
716	865	341
717	866	340
718	866	338
719	868	337
720	869	336
721	870	335
722	870	333
723	871	332
724	872	330
725	873	329
726	874	328
727	874	326
728	875	325
729	876	324
730	877	322
731	878	321
732	879	320
733	880	319
734	881	317
735	882	316
736	882	315
737	883	313
738	884	312
739	885	311
740	886	309
741	887	308
742	888	307
743	888	305
744	890	304
745	891	303
746	892	302
747	892	300
748	893	299
749	894	298
750	895	296
751	895	295
752	896	294
753	897	292
754	898	291
755	899	290
756	899	288
757	900	287
758	901	286
759	902	285
760	903	283
761	904	282
762	904	281
763	905	279
764	906	278
765	907	277
766	907	275
767	909	274
768	910	273
769	911	272
770	912	270
771	913	269
772	913	268
773	914	267
774	915	265
775	916	264
776	917	263
777	917	261
778	918	260
779	921	259
780	922	258
781	923	257
782	923	256
783	924	254
784	925	253
785	926	252
786	926	250
787	927	249
788	928	248
789	929	247
790	929	245
791	931	244
792	932	243
793	933	242
794	933	240
795	934	239
796	935	238
797	936	237
798	937	235
799	938	234
800	938	233
801	939	231
802	940	230
803	941	229
804	942	228
805	943	227
806	944	225
807	944	224
808	945	223
809	946	222
810	947	220
811	948	219
812	948	218
813	949	216
814	950	215
815	951	214
816	952	213
817	953	212
818	954	210
819	955	209
820	955	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	960	200
827	961	199
828	962	198
829	963	197
830	964	196
831	965	194
832	966	193
833	967	192
834	968	191
835	968	190
836	969	188
837	970	187
838	971	186
839	971	185
840	972	183
841	973	182
842	974	181
843	975	180
844	976	179
845	977	177
846	978	176
847	979	175
848	979	174
849	980	173
850	981	171
851	982	170
852	982	169
853	983	168
854	984	167
855	985	165
856	986	164
857	987	163
858	988	162
859	989	161
860	989	159
861	990	158
862	991	157
863	992	156
864	992	154
865	993	153
866	994	152
867	996	151
868	996	150
869	997	149
870	998	147
871	999	146
872	1000	145
873	1000	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1004	138
879	1006	137
880	1007	136
881	1008	134
882	1009	133
883	1009	132
884	1010	131
885	1011	130
886	1012	128
887	1013	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1018	120
894	1019	119
895	1020	118
896	1021	117
897	1021	116
898	1022	114
899	1023	113
900	1024	112
901	1024	111
902	1025	110
903	1026	109
904	1028	107
905	1029	106
906	1030	105
907	1030	104
908	1031	103
909	1032	102
910	1033	100
911	1033	99
912	1034	98
913	1035	97
914	1036	96
915	1037	95
916	1037	93
917	1039	92
918	1040	91
919	1041	90
920	1042	89
921	1043	88
922	1044	87
923	1044	85
924	1045	84
925	1046	83
926	1047	82
927	1048	81
928	1048	80
929	1049	79
930	1051	77
931	1052	76
932	1053	75
933	1053	74
934	1054	73
935	1055	72
936	1056	71
937	1057	69
938	1057	68
939	1058	67
940	1059	66
941	1060	65
942	1061	64
943	1062	63
944	1063	61
945	1064	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1068	55
951	1069	53
952	1069	52
953	1070	51
954	1071	50
955	1072	49
956	1073	48
957	1074	47
958	1075	45
959	1076	44
960	1076	43
961	1078	42
962	1079	41
963	1080	40
964	1080	39
965	1081	38
966	1082	36
967	1083	35
968	1084	34
969	1085	33
970	1086	32
971	1087	31
972	1087	30
973	1088	29
974	1089	27
975	1090	26
976	1091	25
977	1091	24
978	1092	23
979	1093	22
980	1096	21
981	1097	20
982	1097	18
983	1098	17
984	1099	16
985	1100	15
986	1101	14
987	1101	13
988	1102	12
989	1103	11
990	1104	10
991	1104	8
992	1106	7
993	1107	6
994	1108	5
995	1109	4
996	1110	3
997	1110	2
998	1111	1
999	1112	0
